Parámetro,Valor,MAE,RMSE
loss_function,MAE,30729.173380202476,43947.28945266545
loss_function,RMSE,30530.9398775472,43097.27186523301
loss_function,Quantile,30729.173380202476,43947.28945266545
depth,6,30729.173380202476,43947.28945266545
depth,8,30559.896017878596,43899.65948617929
depth,10,31345.448133699836,44864.36598157915
depth,12,32637.160458099694,46794.65067898033
learning_rate,0.01,34270.24466756144,48855.21110959628
learning_rate,0.05,30735.50891899519,44058.86625949466
learning_rate,0.1,30931.89574021717,44226.33600181384
learning_rate,0.15,30938.885597798202,44282.294161376296
